NHS,lr_fishfarming,lr_goatrearing
NHS001,Yes,
NHS002,,Yes
NHS003,,Yes
NHS004,,Yes
NHS005,,Yes
NHS006,Yes,
NHS007,,Yes
NHS008,,Yes
NHS009,Yes,
NHS010,Yes,
NHS011,,Yes
NHS012,,Yes
NHS013,Yes,
NHS014,,Yes
NHS015,,Yes
NHS016,,Yes
NHS017,,Yes
NHS018,,Yes
NHS019,,Yes
NHS021,,Yes
NHS022,,Yes
NHS023,,Yes
NHS024,Yes,
NHS025,,Yes
NHS026,Yes,
NHS027,Yes,
NHS028,,Yes
NHS029,,Yes
NHS030,,Yes
NHS031,,Yes
NHS032,Yes,
NHS033,Yes,
NHS034,,Yes
NHS035,,Yes
NHS036,,Yes
NHS038,,Yes
NHS039,,Yes
NHS040,,Yes
NHS041,,Yes
NHS042,,Yes
NHS043,,Yes
NHS044,,Yes
NHS045,,Yes
NHS046,,Yes
NHS047,,Yes
NHS048,,Yes
NHS050,,Yes
NHS051,,Yes
NHS052,,Yes
NHS053,,Yes
NHS054,,Yes
NHS055,,Yes
NHS056,Yes,
NHS057,,Yes
NHS058,,Yes
NHS059,,Yes
NHS060,,Yes
NHS061,,Yes
NHS062,,Yes
NHS063,,Yes
NHS064,,Yes
NHS066,,Yes
NHS067,,Yes
NHS068,,Yes
NHS069,,Yes
NHS070,,Yes
NHS071,Yes,
NHS072,,Yes
NHS073,,Yes
NHS074,,Yes
NHS075,Yes,
NHS076,,Yes
NHS077,,Yes
NHS078,Yes,
NHS079,,Yes
NHS080,,Yes
NHS081,Yes,
NHS082,,Yes
NHS083,,Yes
NHS084,,Yes
NHS086,,Yes
NHS087,,Yes
NHS088,,Yes
NHS089,,Yes
NHS091,,Yes
NHS092,,Yes
NHS093,Yes,
NHS094,Yes,
NHS096,,Yes
NHS097,,Yes
NHS098,,Yes
NHS099,,Yes
NHS100,,Yes
NHS101,,Yes
NHS102,,Yes
NHS103,,Yes
NHS104,,Yes
NHS105,,Yes
NHS106,,Yes
NHS107,,Yes
NHS108,,Yes
NHS109,,Yes
NHS110,,Yes
NHS112,Yes,
NHS113,,Yes
NHS114,,Yes
NHS116,,Yes
NHS117,,Yes
NHS118,Yes,
NHS119,Yes,
NHS120,,Yes
NHS121,Yes,
NHS122,,Yes
NHS123,,Yes
NHS124,Yes,
NHS125,,Yes
NHS126,,Yes
NHS127,,Yes
NHS128,,Yes
NHS129,,Yes
NHS130,,Yes
NHS132,,Yes
NHS132,,Yes
NHS133,Yes,
NHS134,,Yes
NHS135,,Yes
NHS136,,Yes
NHS137,,Yes
NHS138,,Yes
NHS140,,Yes
NHS141,,Yes
NHS142,,Yes
NHS144,,Yes
NHS145,,Yes
NHS146,,Yes
NHS147,,Yes
NHS148,,Yes
NHS149,,Yes
NHS150,,Yes
NHS153,,Yes
NHS155,Yes,
NHS156,,Yes
NHS157,Yes,
NHS160,,Yes
NHS161,,Yes
NHS162,,Yes
NHS163,,Yes
NHS164,,Yes
NHS165,,Yes
NHS166,,Yes
NHS167,Yes,
NHS168,,Yes
NHS169,,Yes
NHS170,Yes,
NHS171,,Yes
NHS172,,Yes
NHS173,,Yes
NHS174,,Yes
NHS175,,Yes
NHS176,,Yes
NHS177,,Yes
NHS178,,Yes
NHS179,,Yes
NHS180,,Yes
NHS181,,Yes
NHS182,,Yes
NHS183,Yes,
NHS184,,Yes
NHS185,Yes,
NHS186,Yes,
NHS187,Yes,
NHS188,,Yes
NHS189,,Yes
NHS190,Yes,
NHS192,,Yes
NHS193,,Yes
NHS194,,Yes
NHS195,,Yes
NHS197,,Yes
NHS198,,Yes
NHS200,,Yes
NHS200,,Yes
NHS201,Yes,
NHS202,,Yes
NHS203,,Yes
NHS204,,Yes
NHSU100,,Yes
NHSU101,,Yes
NHSU103,,Yes
NHSU105,,Yes
NHSU106,,Yes
NHSU107,,Yes
NHSU108,,Yes
NHSU116,,Yes
NHSU117,,Yes
NHSU118,,Yes
NHSU121,,Yes
NHSU122,,Yes
NHSU128,,Yes
NHSU131,,Yes
NHSU132,,Yes
